id,category,group,title,current_price,new_price
"cat_k_kitchen-spoon_1","Kitchen Utensils","Kitchen Spoon","Kiko - 6 Pcs",0,
"cat_k_kitchen-spoon_2","Kitchen Utensils","Kitchen Spoon","Kitchenware - 4 Pcs",0,
"cat_k_kitchen-spoon_3","Kitchen Utensils","Kitchen Spoon","Original - 2 in 1",0,
"cat_k_kitchen-spoon_4","Kitchen Utensils","Kitchen Spoon","Original - Single",0,
"cat_k_kitchen-spoon_5","Kitchen Utensils","Kitchen Spoon","Paradiso - 32 Pcs",0,
"cat_k_kitchen-spoon_6","Kitchen Utensils","Kitchen Spoon","Paradiso - 7 Pcs",0,
"cat_k_kitchen-spoon_7","Kitchen Utensils","Kitchen Spoon","Rubber - 6 in 1",0,
"cat_k_kitchen-spoon_8","Kitchen Utensils","Kitchen Spoon","Tianmu Boutique - Kitchen Suit - 5 in 1",0,
"cat_k_kitchen-spoon_9","Kitchen Utensils","Kitchen Spoon","Various",0,
"cat_k_kitchen-spoon_10","Kitchen Utensils","Kitchen Spoon","Yi Guan - 12 Pcs",0,
"cat_k_knife_1","Kitchen Utensils","Knife","Butcher Knife - 2011",0,
"cat_k_knife_2","Kitchen Utensils","Knife","Butcher Knife - JP125# / 6 inch",0,
"cat_k_knife_3","Kitchen Utensils","Knife","China - Fruit Knife Set",0,
"cat_k_knife_4","Kitchen Utensils","Knife","Forging Family - 6 Pcs - Nil",0,
"cat_k_knife_5","Kitchen Utensils","Knife","Kitchen Knife - 7 inch",0,
"cat_k_knife_6","Kitchen Utensils","Knife","Rashnik - Single",0,
"cat_e_knife-switch_1","Electrical Materials and Fittings","Knife Switch","Change Over - 100 Amps",0,
"cat_e_knife-switch_2","Electrical Materials and Fittings","Knife Switch","Change Over - 32 Amps",0,
"cat_e_lamp-led-bulb_1","Electrical Materials and Fittings","Lamp - LED Bulb","DP - DP-7812C",0,
"cat_e_lamp-led-bulb_2","Electrical Materials and Fittings","Lamp - LED Bulb","Kemsafe - KM-7781",0,
"cat_e_lamp-led-bulb_3","Electrical Materials and Fittings","Lamp - LED Bulb","Kemsafe - KM-AE05",0,
"cat_e_lamp-rechargeable_1","Electrical Materials and Fittings","Lamp - Rechargeable","CTL-EL 119U",0,
"cat_e_lamp-rechargeable_2","Electrical Materials and Fittings","Lamp - Rechargeable","CTL-EL 189",0,
"cat_e_lamp-rechargeable_3","Electrical Materials and Fittings","Lamp - Rechargeable","DP-7129B",0,
"cat_e_lamp-rechargeable_4","Electrical Materials and Fittings","Lamp - Rechargeable","DP-7161B",0,
"cat_e_lamp-rechargeable_5","Electrical Materials and Fittings","Lamp - Rechargeable","Lantern - DP-7164",0,
"cat_e_lamp-solar_1","Electrical Materials and Fittings","Lamp - Solar","Cob Work Lamp - SA-819A",0,
"cat_e_lamp-solar_2","Electrical Materials and Fittings","Lamp - Solar","EP-7816",0,
"cat_e_lamp-solar_3","Electrical Materials and Fittings","Lamp - Solar","GD-5808",0,
"cat_e_lamp-solar_4","Electrical Materials and Fittings","Lamp - Solar","JA-399 / 2004",0,
"cat_e_lampholder_1","Electrical Materials and Fittings","Lampholder","Vin Well - 2 in 1",0,
"cat_e_lighter_1","Electrical Materials and Fittings","Lighter","Standard",0,
"cat_k_lunch-box_1","Kitchen Utensils","Lunch Box","Canada",0,
"cat_k_lunch-box_2","Kitchen Utensils","Lunch Box","China - 1L",0,
"cat_k_lunch-box_3","Kitchen Utensils","Lunch Box","China - 2L",0,
"cat_k_lunch-box_4","Kitchen Utensils","Lunch Box","IQIX",0,
"cat_k_lunch-box_5","Kitchen Utensils","Lunch Box","Multifuntional - Electric - 2L",0,
"cat_k_lunch-box_6","Kitchen Utensils","Lunch Box","Single",0,
"cat_k_lunch-box_7","Kitchen Utensils","Lunch Box","With Divider",0,
