id,rename_photo_to,category,group,title,current_image
"cat_k_brush_3","cat_k_brush_3.jpg","Kitchen Utensils","Brush","Scrubbing Brush","/images/catalog/web/brush.jpg"
"cat_k_brush_4","cat_k_brush_4.jpg","Kitchen Utensils","Brush","Small - Toilet","/images/catalog/web/brush.jpg"
"cat_k_brush_5","cat_k_brush_5.jpg","Kitchen Utensils","Brush","Sweeping Brush","/images/catalog/web/brush.jpg"
"cat_k_brush_6","cat_k_brush_6.jpg","Kitchen Utensils","Brush","Toilet - Silicon","/images/catalog/web/brush.jpg"
"cat_k_bucket_1","cat_k_bucket_1.jpg","Kitchen Utensils","Bucket","Standard","/images/catalog/web/bucket.jpg"
"cat_k_chopper_1","cat_k_chopper_1.jpg","Kitchen Utensils","Chopper","Eurosonic ES-1862 - Glass","/images/catalog/web/chopper.jpg"
"cat_k_cling-film_1","cat_k_cling-film_1.jpg","Kitchen Utensils","Cling Film","Standard","/images/catalog/web/cling-film.jpg"
"cat_k_clipper_1","cat_k_clipper_1.jpg","Kitchen Utensils","Clipper","Nova - Mini","/images/catalog/web/clipper.jpg"
"cat_k_comb_1","cat_k_comb_1.jpg","Kitchen Utensils","Comb","HotComb","/images/catalog/web/comb.jpg"
"cat_k_container_1","cat_k_container_1.jpg","Kitchen Utensils","Container","Salvin - Cereal - 3 in 1","/images/catalog/web/container.jpg"
"cat_k_container_2","cat_k_container_2.jpg","Kitchen Utensils","Container","Salvin - Fridge - 3 in 1","/images/catalog/web/container.jpg"
"cat_k_container_3","cat_k_container_3.jpg","Kitchen Utensils","Container","Salvin - Fridge - 5 in 1","/images/catalog/web/container.jpg"
"cat_k_container_4","cat_k_container_4.jpg","Kitchen Utensils","Container","Salvin - Fridge - Snap and Go - 5 in 1","/images/catalog/web/container.jpg"
"cat_k_container_5","cat_k_container_5.jpg","Kitchen Utensils","Container","Set - 10 Pcs","/images/catalog/web/container.jpg"
"cat_k_cooler_1","cat_k_cooler_1.jpg","Kitchen Utensils","Cooler","Salvin - Party Cooler - 4 in 1 - Round","/images/catalog/web/cooler.jpg"
"cat_k_cooler_2","cat_k_cooler_2.jpg","Kitchen Utensils","Cooler","Salvin - Party Cooler - 4 in 1 - Square","/images/catalog/web/cooler.jpg"
"cat_k_cooler_3","cat_k_cooler_3.jpg","Kitchen Utensils","Cooler","Salvin - Red","/images/catalog/web/cooler.jpg"
"cat_k_cover_1","cat_k_cover_1.jpg","Kitchen Utensils","Cover","Nylon","/images/catalog/web/cover.jpg"
"cat_k_cover_2","cat_k_cover_2.jpg","Kitchen Utensils","Cover","Silicon","/images/catalog/web/cover.jpg"
"cat_k_cup_2","cat_k_cup_2.jpg","Kitchen Utensils","Cup","GBO Products - Golden","/images/catalog/web/cup.jpg"
"cat_k_cup_3","cat_k_cup_3.jpg","Kitchen Utensils","Cup","Glass Ware - Glass Cup by 6 - Small","/images/catalog/web/cup.jpg"
"cat_k_cup_4","cat_k_cup_4.jpg","Kitchen Utensils","Cup","Glass with Cover - Golden","/images/catalog/web/cup.jpg"
"cat_k_cup_5","cat_k_cup_5.jpg","Kitchen Utensils","Cup","Glass with Cover - White","/images/catalog/web/cup.jpg"
